os,version,position_url,position,download_position,download_url
win,49.0.2623.75,https://omahaproxy.appspot.com/deps.json?version=49.0.2623.75,369907,369909,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F369909%2Fchrome-win32-syms.zip?generation=1452909793395000&alt=media
win,50.0.2661.75,https://omahaproxy.appspot.com/deps.json?version=50.0.2661.75,378081,378086,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F378086%2Fchrome-win32-syms.zip?generation=1456542006078000&alt=media
win,49.0.2623.110,https://omahaproxy.appspot.com/deps.json?version=49.0.2623.110,369907,369909,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F369909%2Fchrome-win32-syms.zip?generation=1452909793395000&alt=media
win,51.0.2704.79,https://omahaproxy.appspot.com/deps.json?version=51.0.2704.79,386251,386255,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F386255%2Fchrome-win32-syms.zip?generation=1460162275834000&alt=media
win,48.0.2564.116,https://omahaproxy.appspot.com/deps.json?version=48.0.2564.116,359700,359702,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F359702%2Fchrome-win32-syms.zip?generation=1447462646742000&alt=media
win,48.0.2564.109,https://omahaproxy.appspot.com/deps.json?version=48.0.2564.109,359700,359702,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F359702%2Fchrome-win32-syms.zip?generation=1447462646742000&alt=media
win,48.0.2564.82,https://omahaproxy.appspot.com/deps.json?version=48.0.2564.82,359700,359702,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F359702%2Fchrome-win32-syms.zip?generation=1447462646742000&alt=media
win,48.0.2564.97,https://omahaproxy.appspot.com/deps.json?version=48.0.2564.97,359700,359702,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F359702%2Fchrome-win32-syms.zip?generation=1447462646742000&alt=media
win,47.0.2526.111,https://omahaproxy.appspot.com/deps.json?version=47.0.2526.111,352221,352221,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F352221%2Fchrome-win32-syms.zip?generation=1443839158161000&alt=media
win,47.0.2526.106,https://omahaproxy.appspot.com/deps.json?version=47.0.2526.106,352221,352221,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F352221%2Fchrome-win32-syms.zip?generation=1443839158161000&alt=media
win,47.0.2526.73,https://omahaproxy.appspot.com/deps.json?version=47.0.2526.73,352221,352221,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F352221%2Fchrome-win32-syms.zip?generation=1443839158161000&alt=media
win,46.0.2490.86,https://omahaproxy.appspot.com/deps.json?version=46.0.2490.86,344925,344926,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F344926%2Fchrome-win32-syms.zip?generation=1440204764866000&alt=media
win,48.0.2564.103,https://omahaproxy.appspot.com/deps.json?version=48.0.2564.103,359700,359702,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F359702%2Fchrome-win32-syms.zip?generation=1447462646742000&alt=media
win,52.0.2743.116,https://omahaproxy.appspot.com/deps.json?version=52.0.2743.116,394939,394937,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F394937%2Fchrome-win32-syms.zip?generation=1463707036235000&alt=media
win,46.0.2490.80,https://omahaproxy.appspot.com/deps.json?version=46.0.2490.80,344925,344926,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F344926%2Fchrome-win32-syms.zip?generation=1440204764866000&alt=media
win,45.0.2454.101,https://omahaproxy.appspot.com/deps.json?version=45.0.2454.101,338390,338393,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F338393%2Fchrome-win32-syms.zip?generation=1436572525097000&alt=media
win,54.0.2840.71,https://omahaproxy.appspot.com/deps.json?version=54.0.2840.71,414607,414609,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F414609%2Fchrome-win32-syms.zip?generation=1472175833657000&alt=media
